S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
52,Ishant Sharma,GT,7,7,0,0,0,NA,0,NA,0,0,0,0,0,0,1 for 18,4,0,0,2,0,110,51.25,11.18,205,Bowler
53,Karim Janat,GT,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,0 for 30,0,0,0,0,0,6,NA,30,30,Bowler
54,Kulwant Khejroliya,GT,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,1 for 29,1,0,0,1,0,18,29,9.67,29,Bowler
55,Kusal Mendis,GT,1,1,0,20,20,20,10,200,0,0,0,1,2,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
56,Rahul Tewatia,GT,15,15,4,99,24,12.38,59,167.8,0,0,NA,6,7,0,0,0,0,0,4,0,0,NA,NA,0,AR
57,Rashid Khan,GT,15,15,3,40,12,8,28,142.86,0,0,NA,2,3,0,2 for 25,9,0,0,6,0,330,57.11,9.35,514,AR
58,Shahrukh Khan,GT,15,15,5,179,57,29.83,100,179,0,1,NA,11,13,0,1 for 13,1,0,0,5,0,6,13,13,13,AR
59,Naman Dhir,MI,16,16,4,252,46,31.5,138,182.61,0,0,NA,24,13,0,0 for 9,0,0,0,12,0,24,NA,5.25,21,AR
60,Karn Sharma,MI,6,6,1,1,1,NA,1,100,0,0,NA,0,0,0,3 for 23,7,0,0,3,0,90,18.29,8.53,128,Bowler
61,Deepak Chahar,MI,14,14,3,37,28,37,25,148,0,0,NA,3,2,0,2 for 12,11,0,0,2,0,246,34.18,9.17,376,Bowler
62,Mitchell Santner,MI,13,13,6,40,18,20,33,121.21,0,0,NA,2,3,0,3 for 11,10,0,0,14,0,237,31.3,7.92,313,Bowler
63,Reece Topley,MI,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,0 for 40,0,0,0,1,0,18,NA,13.33,40,Bowler
64,Raj Angad Bawa,MI,3,3,1,8,8,NA,4,200,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,0,Bowler
65,Jonny Bairstow,MI,2,2,0,85,47,42.5,46,184.78,0,0,NA,7,5,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
66,Richard Gleeson,MI,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,1 for 39,1,0,0,0,0,21,39,11.14,39,Bowler
67,Tilak  Varma,MI,16,16,2,343,59,31.18,248,138.31,0,2,NA,23,16,0,0,0,0,0,9,0,0,NA,NA,0,Batsman
68,Rajat Patidar,RCB,15,15,1,312,64,24,217,143.78,0,2,NA,25,14,0,0,0,0,0,2,0,0,NA,NA,0,Batsman
69,Blessing Muzarabani,RCB,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,AR
70,Liam Livingstone,RCB,10,10,1,112,54,16,84,133.33,0,1,NA,4,9,0,2 for 28,2,0,0,4,0,54,38,8.44,76,AR
71,Jitesh Sharma,RCB,15,15,4,261,85,37.29,148,176.35,0,1,NA,24,17,0,0,0,0,0,19,1,0,NA,NA,0,WK Batsman
72,Rasikh Dar,RCB,2,2,0,0,0,NA,0,NA,0,0,NA,0,0,0,1 for 35,1,0,0,1,0,36,70,11.67,70,Bowler
73,Suyash Sharma,RCB,14,14,0,0,0,NA,0,NA,0,0,NA,0,0,0,3 for 17,8,0,0,1,0,300,55.25,8.84,442,Bowler
74,Swapnil Singh,RCB,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,AR
75,Tim David,RCB,12,12,6,187,50,62.33,101,185.15,0,1,NA,16,14,0,0,0,0,0,7,0,0,NA,NA,0,Batsman
76,Romario Shepherd,RCB,8,8,1,70,53,35,24,291.67,0,1,NA,5,7,0,2 for 14,6,0,0,4,0,84,25.17,10.79,151,AR
77,Nuwan Thushara,RCB,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,1 for 26,1,0,0,0,0,24,26,6.5,26,Bowler
78,Manoj Bhandage,RCB,1,1,0,1,1,1,4,25,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,0,Bowler
79,Lungisani Ngidi,RCB,2,2,1,0,0,NA,2,NA,0,0,NA,0,0,0,3 for 30,4,0,0,0,0,48,20.25,10.13,81,Bowler
